Distance,Elevation,Grade
8.2383074461059,0.0,0.0
16.031374933126735,-0.09999999999990905,-0.006237768152578863
23.381443840578598,-0.3999999999998636,-0.017107583377963247
30.74715115407314,-0.8999999999998636,-0.029271004506726102
37.98594644142088,-1.5,-0.039488288183451986
45.04890026623424,-1.7999999999999545,-0.039956580279699276
52.33297033292049,-2.5,-0.04777103199180258
60.39160751386845,-3.0,-0.049675776544134444
68.63191003770513,-3.199999999999818,-0.04662554194166819
76.0686888814317,-3.3999999999998636,-0.04469644541000891
83.2207699738531,-3.3999999999998636,-0.04085518556326864
90.58340155207662,-3.5,-0.038638425363037854
99.11992496387482,-4.5,-0.04539955010700489
107.26781969847886,-5.0,-0.04661230193784673
113.99369623471387,-5.0,-0.04386207452827008
121.45183824641283,-5.0,-0.04116858231371956
129.85707104649572,-5.099999999999909,-0.039273949111125715
138.36596955933356,-5.399999999999864,-0.03902693716668719
146.69060131641675,-6.199999999999818,-0.04226582987839965
156.20117674643777,-6.5,-0.04161300276598739
165.60397439420578,-6.5,-0.03925026572446455
174.07496857042682,-6.5,-0.037340233655537014
182.85670607764368,-6.699999999999818,-0.03664071252139311
191.40689482479425,-6.5,-0.03395906926942117
200.45699691232286,-6.699999999999818,-0.0334236275271065
210.0484505348793,-6.399999999999864,-0.030469160727929868
219.40550706405514,-6.399999999999864,-0.029169732727498916
227.93158083806532,-5.7999999999999545,-0.025446232499570044
236.31298909627128,-5.399999999999864,-0.02285105029838188
244.60998501531702,-5.0,-0.020440702777063287
252.12547886801022,-5.0,-0.019831395154702083
259.3305342834971,-5.0,-0.019280413753877738
265.7094831510191,-5.2999999999999545,-0.019946597077183117
272.2946899315756,-5.5,-0.02019870457768414
278.0791748585269,-5.699999999999818,-0.020497759326636736
283.8464959126808,-6.199999999999818,-0.021842792105163468
289.74550996524306,-6.399999999999864,-0.022088349188802224
296.1621078721545,-6.399999999999864,-0.021609786768409207
302.43079879424664,-6.099999999999909,-0.020169903410366397
308.92709730257576,-5.699999999999818,-0.01845095509513368
317.8939733315281,-4.699999999999818,-0.014784803721642877
325.4339536047608,-4.2999999999999545,-0.01321312651113934
332.8065473385046,-4.0,-0.01201899431362904
339.95761158317634,-4.0,-0.011766172792461017
347.0120921777268,-4.0,-0.011526975832160188
355.03411263861267,-4.0,-0.011266523011752334
364.4563225209524,-4.0,-0.010975252047575719
374.7045193003932,-4.0,-0.010675078078770859
385.7313743113814,-4.0,-0.010369910944218404
396.3018676959695,-4.0,-0.010093316045304827
406.08181086965726,-4.0,-0.009850231881683335
415.0370685328653,-4.0,-0.009637693361076866
424.030790553944,-4.0,-0.009433277226812923
433.92098204638285,-3.599999999999909,-0.008296441400510788
443.9533995787984,-3.099999999999909,-0.006982714859129449
453.5411737109218,-3.0,-0.006614614447137584
463.2463155688993,-3.0,-0.006476036396135795
472.71773297457776,-3.0,-0.006346281915684633
482.0422558925598,-2.8999999999998636,-0.006016070094581566
490.58054319522597,-2.3999999999998636,-0.004892163036814092
499.6205701911991,-1.8999999999998636,-0.003802885856506579
509.2827381539833,-1.3999999999998636,-0.002748964170815012
519.964605277799,-0.8999999999998636,-0.0017308870466654646
530.5703154297742,-0.3999999999998636,-0.000753905728170741
541.3074687857545,0.40000000000009095,0.000738951562773297
551.367450456174,0.900000000000091,0.0016323052789124126
561.5487043160874,1.400000000000091,0.002493105209289294
571.473446650504,1.900000000000091,0.0033247389028069293
580.9921209560664,2.400000000000091,0.004130864969477916
591.2767585477935,2.900000000000091,0.004904640607086674
600.7412312543213,3.400000000000091,0.005659674786931206
610.1924052555296,4.0,0.006555309383644204
619.4176967017798,4.2000000000000455,0.006780561844396489
629.1813753122076,4.600000000000136,0.007311087359694268
638.2573379665029,4.800000000000182,0.007520477579299052
648.3343306368049,5.0,0.007712070399062341
658.2374645405953,4.600000000000136,0.006988359441391902
667.4454924338354,4.100000000000136,0.006142823715910515
677.1021125918747,3.6000000000001364,0.005316775613385284
686.910012001702,3.300000000000182,0.0048041227269111425
696.482691001386,2.800000000000182,0.004020200410112719
705.832993199719,2.300000000000182,0.0032585611924624007
715.0486277562081,1.7000000000000455,0.0023774606845055734
724.6143424927424,1.2000000000000455,0.0016560533371060959
734.709795935632,0.20000000000004547,0.0002722163241955297
744.220297503395,-1.199999999999818,-0.0016124257884733973
753.2124536542013,-2.0,-0.002655293324342984
762.0902670501293,-3.3999999999998636,-0.004461413755040406
771.1559265616204,-4.5,-0.005835395728674881
780.4446084768762,-5.2999999999999545,-0.006791000850583733
790.273560846164,-6.099999999999909,-0.007718846108768335
800.3482543391696,-6.2999999999999545,-0.007871573363025236
810.4723161038486,-6.599999999999909,-0.008143399680482397
820.2202365631782,-6.899999999999864,-0.00841237474085216
829.8505332896428,-7.199999999999818,-0.008676261219545183
837.9414048200692,-7.5,-0.008950506511383658
846.4572703603924,-8.199999999999818,-0.009687435251762373
854.0559652413975,-8.699999999999818,-0.010186686065169953
860.9929001239902,-9.399999999999864,-0.010917627774452245
868.3509773576513,-9.5,-0.010940276740296908
877.4096738950814,-9.199999999999818,-0.010485409807665208
887.9354023396563,-9.199999999999818,-0.010361114080774763
897.5220802024361,-9.5,-0.01058469781362624
906.5296548397515,-9.199999999999818,-0.01014859243807762
915.856034660399,-9.399999999999864,-0.010263621840397
925.6479883041418,-9.299999999999955,-0.01004701583918339
935.2196533053462,-8.299999999999955,-0.008874920421812427
944.5579347573574,-7.899999999999864,-0.008363700848089592
953.9939987012682,-7.7999999999999545,-0.008176152062401423
